PIKUniform 	 Gaussian 	 Poisson 	 Exponential 	 Power 
   0.2879 	   -1.8848 	        10 	    0.9065 	    0.4338 
   0.1644 	    0.1228 	        15 	    1.3205 	    0.6587 
   0.9316 	   -1.0087 	        13 	    1.0701 	    0.8984 
   0.3995 	    0.4667 	         5 	    0.6236 	    0.1187 
   0.9806 	    0.5064 	         7 	    0.9035 	    0.7389 
   0.0324 	    0.4233 	         5 	    0.8393 	    0.2964 
   0.9383 	    2.0808 	         9 	    0.0517 	    0.0528 
   0.6920 	   -1.5205 	        11 	    0.8619 	    0.3592 
   0.8236 	   -0.2339 	        13 	    0.4320 	    0.3626 
   0.8057 	   -1.0781 	         5 	    0.6580 	    0.8409 
   0.2212 	   -0.6367 	         9 	    1.7351 	    0.3846 
   0.4591 	    0.4108 	        12 	    0.0332 	    0.4756 
   0.4077 	   -0.1868 	         6 	    3.5457 	    0.5622 
   0.7148 	   -0.1348 	        16 	    0.0799 	    0.3547 
   0.5507 	   -0.7066 	         9 	    1.6856 	    0.6118 
   0.3735 	   -0.4652 	         9 	    1.1265 	    0.6582 
   0.0701 	   -0.2888 	         9 	    0.1706 	    0.8273 
   0.0419 	   -1.1999 	        14 	    0.2632 	    0.5024 
   0.7315 	   -0.2923 	        18 	    2.1732 	    0.9343 
   0.9164 	    1.3704 	         9 	    0.7578 	    0.6774 
   0.4285 	    1.4295 	        10 	    0.5644 	    0.3790 
   0.9151 	    0.6547 	        10 	    0.3688 	    0.5730 
   0.3252 	   -0.4733 	        19 	    1.3033 	    0.3458 
   0.6711 	    1.3467 	        12 	    0.1283 	    0.9385 
   0.1812 	   -0.4743 	        11 	    0.3670 	    0.5465 
